obj_index,sn_lens_idx,sn_source_idx,Lens name,zl,zs,thetaE,thetaeff,thetaap,sigma_ap,dsigma_ap,delta,Survey name,sn_lens_MUERR,sn_lens_Index,sn_lens_original_index,sn_lens_MU,sn_lens_zHD,sn_source_MUERR,sn_source_Index,sn_source_original_index,sn_source_MU,sn_source_zHD
0,737,1817,SDSSJ0008-0004,0.44,1.192,1.16,1.71,1.5,193,36,2.138,SLACS,0.1531,737,737,41.7406,0.4242,0.1075,1817,1817,44.20175,1.12132
1,290,1792,SDSSJ0029-0055,0.227,0.931,0.96,2.16,1.5,229,18,2.2184,SLACS,0.1187,290,290,40.44286,0.23332,0.1456,1792,1792,43.79246,0.96363
2,235,1350,SDSSJ0037-0942,0.195,0.632,1.53,2.19,1.5,279,10,2.0915,SLACS,132.5901,235,235,40.96771,0.19209,0.133,1350,1350,42.80918,0.62318
4,399,1058,SDSSJ0109+1500,0.294,0.525,0.69,1.38,1.5,251,19,2.2329,SLACS,0.1383,399,399,40.71277,0.2977,0.1697,1058,1058,42.63882,0.53251
5,1062,1775,SDSSJ0157-0056,0.513,0.924,0.79,1.06,1.5,295,47,2.2678,SLACS,0.238,1062,1062,42.67617,0.53387,0.2238,1775,1775,43.81609,0.91696
6,465,1051,SDSSJ0216-0813,0.332,0.523,1.16,2.67,1.5,333,23,2.1124,SLACS,0.1199,465,465,41.13399,0.32869,0.1494,1051,1051,42.14059,0.53127
7,380,1778,SDSSJ0252+0039,0.28,0.982,1.04,1.39,1.5,164,12,2.1353,SLACS,0.1372,380,380,40.58483,0.29093,0.2459,1778,1778,44.05509,0.92274
8,610,1814,SDSSJ0330-0020,0.351,1.071,1.1,1.2,1.5,212,21,2.2781,SLACS,0.0964,610,610,41.25502,0.36704,0.2373,1814,1814,44.04047,1.05479
9,184,1684,SDSSJ0405-0455,0.075,0.81,0.8,1.36,1.5,160,7,2.2433,SLACS,0.0885,184,184,37.45519,0.07158,0.2116,1684,1684,43.4061,0.79364
10,252,1552,SDSSJ0728+3835,0.206,0.688,1.25,1.78,1.5,214,11,2.2484,SLACS,0.164,252,252,40.13584,0.21136,0.1673,1552,1552,43.33734,0.69371
